"Activity.Label","subject","Set.Type","Mean.Value"
"LAYING","1","Test",NA
"LAYING","10","Test",-0.604927518574841
"LAYING","11","Test",NA
"LAYING","12","Test",-0.601370216513872
"LAYING","13","Test",-0.602841604257323
"LAYING","14","Test",NA
"LAYING","15","Test",NA
"LAYING","16","Test",NA
"LAYING","17","Test",NA
"LAYING","18","Test",-0.594513102996289
"LAYING","19","Test",NA
"LAYING","2","Test",-0.594554938801989
"LAYING","20","Test",-0.603095427272892
"LAYING","21","Test",NA
"LAYING","22","Test",NA
"LAYING","23","Test",NA
"LAYING","24","Test",-0.598072529579968
"LAYING","25","Test",NA
"LAYING","26","Test",NA
"LAYING","27","Test",NA
"LAYING","28","Test",NA
"LAYING","29","Test",NA
"LAYING","3","Test",NA
"LAYING","30","Test",NA
"LAYING","4","Test",-0.600275906171113
"LAYING","5","Test",NA
"LAYING","6","Test",NA
"LAYING","7","Test",NA
"LAYING","8","Test",NA
"LAYING","9","Test",-0.627386626286394
"SITTING","1","Test",NA
"SITTING","10","Test",-0.596116271283258
"SITTING","11","Test",NA
"SITTING","12","Test",-0.60855456226386
"SITTING","13","Test",-0.598516189463807
"SITTING","14","Test",NA
"SITTING","15","Test",NA
"SITTING","16","Test",NA
"SITTING","17","Test",NA
"SITTING","18","Test",-0.597541256457032
"SITTING","19","Test",NA
"SITTING","2","Test",-0.600393131230662
"SITTING","20","Test",-0.611578372189852
"SITTING","21","Test",NA
"SITTING","22","Test",NA
"SITTING","23","Test",NA
"SITTING","24","Test",-0.610192323390129
"SITTING","25","Test",NA
"SITTING","26","Test",NA
"SITTING","27","Test",NA
"SITTING","28","Test",NA
"SITTING","29","Test",NA
"SITTING","3","Test",NA
"SITTING","30","Test",NA
"SITTING","4","Test",-0.599869209421733
"SITTING","5","Test",NA
"SITTING","6","Test",NA
"SITTING","7","Test",NA
"SITTING","8","Test",NA
"SITTING","9","Test",-0.60997046876361
"STANDING","1","Test",NA
"STANDING","10","Test",-0.605014811783196
"STANDING","11","Test",NA
"STANDING","12","Test",-0.605736466078446
"STANDING","13","Test",-0.615774742571177
"STANDING","14","Test",NA
"STANDING","15","Test",NA
"STANDING","16","Test",NA
"STANDING","17","Test",NA
"STANDING","18","Test",-0.625999518491724
"STANDING","19","Test",NA
"STANDING","2","Test",-0.607694266118594
"STANDING","20","Test",-0.613397381806977
"STANDING","21","Test",NA
"STANDING","22","Test",NA
"STANDING","23","Test",NA
"STANDING","24","Test",-0.615423749421368
"STANDING","25","Test",NA
"STANDING","26","Test",NA
"STANDING","27","Test",NA
"STANDING","28","Test",NA
"STANDING","29","Test",NA
"STANDING","3","Test",NA
"STANDING","30","Test",NA
"STANDING","4","Test",-0.599570831279334
"STANDING","5","Test",NA
"STANDING","6","Test",NA
"STANDING","7","Test",NA
"STANDING","8","Test",NA
"STANDING","9","Test",-0.613981626306951
"WALKING","1","Test",NA
"WALKING","10","Test",-0.176003777762687
"WALKING","11","Test",NA
"WALKING","12","Test",-0.216009503152813
"WALKING","13","Test",-0.174015896411719
"WALKING","14","Test",NA
"WALKING","15","Test",NA
"WALKING","16","Test",NA
"WALKING","17","Test",NA
"WALKING","18","Test",-0.342449748521331
"WALKING","19","Test",NA
"WALKING","2","Test",-0.263447535461266
"WALKING","20","Test",-0.0854573801276848
"WALKING","21","Test",NA
"WALKING","22","Test",NA
"WALKING","23","Test",NA
"WALKING","24","Test",-0.309113759019627
"WALKING","25","Test",NA
"WALKING","26","Test",NA
"WALKING","27","Test",NA
"WALKING","28","Test",NA
"WALKING","29","Test",NA
"WALKING","3","Test",NA
"WALKING","30","Test",NA
"WALKING","4","Test",-0.333616309878114
"WALKING","5","Test",NA
"WALKING","6","Test",NA
"WALKING","7","Test",NA
"WALKING","8","Test",NA
"WALKING","9","Test",-0.252828358805236
"WALKING_DOWNSTAIRS","1","Test",NA
"WALKING_DOWNSTAIRS","10","Test",-0.0933115238128125
"WALKING_DOWNSTAIRS","11","Test",NA
"WALKING_DOWNSTAIRS","12","Test",-0.153828979531464
"WALKING_DOWNSTAIRS","13","Test",-0.154798328885655
"WALKING_DOWNSTAIRS","14","Test",NA
"WALKING_DOWNSTAIRS","15","Test",NA
"WALKING_DOWNSTAIRS","16","Test",NA
"WALKING_DOWNSTAIRS","17","Test",NA
"WALKING_DOWNSTAIRS","18","Test",-0.34903537222669
"WALKING_DOWNSTAIRS","19","Test",NA
"WALKING_DOWNSTAIRS","2","Test",-0.0960628386705871
"WALKING_DOWNSTAIRS","20","Test",-0.0716770818880729
"WALKING_DOWNSTAIRS","21","Test",NA
